vilmar.csvK3__-3115213.csv -3 1 1 5 2 1 3 
Node, ActiveNodes,LowerBound,  UpperBo,  gap, time,
0 , 2  , 1410 , 1461.64692617  ,  3.66 , 9.844 , 
20 , 11  , 1410 , 1448.30475192  ,  2.72 , 16.33 , 
40 , 18  , 1410 , 1440.74498534  ,  2.18 , 22.72 , 
60 , 21  , 1410 , 1435.50560478  ,  1.81 , 28.58 , 
80 , 27  , 1410 , 1431.24775376  ,  1.51 , 35.59 , 
100 , 27  , 1410 , 1429.77652823  ,  1.4 , 41.12 , 
120 , 29  , 1410 , 1428.98205136  ,  1.35 , 47.15 , 
140 , 30  , 1410 , 1426.10791604  ,  1.14 , 52.99 , 
160 , 31  , 1410 , 1425.43829763  ,  1.09 , 59.35 , 
180 , 32  , 1410 , 1424.49182159  ,  1.03 , 65.01 , 
200 , 34  , 1410 , 1423.69760785  ,  0.971 , 70.98 , 
220 , 34  , 1410 , 1422.79098742  ,  0.907 , 77.56 , 
240 , 36  , 1410 , 1422.3063161  ,  0.873 , 84.43 , 
260 , 37  , 1410 , 1421.91617315  ,  0.845 , 94.19 , 
280 , 37  , 1410 , 1421.12133146  ,  0.789 , 101.7 , 
300 , 38  , 1410 , 1419.88655617  ,  0.701 , 109.2 , 
320 , 38  , 1410 , 1419.35590019  ,  0.664 , 115.4 , 
340 , 38  , 1410 , 1418.81439443  ,  0.625 , 122.2 , 
360 , 38  , 1410 , 1418.30520096  ,  0.589 , 130.4 , 
380 , 37  , 1410 , 1417.9400434  ,  0.563 , 137.5 , 
400 , 36  , 1410 , 1416.95324494  ,  0.493 , 143.7 , 
420 , 34  , 1410 , 1416.37875175  ,  0.452 , 149.9 , 
440 , 34  , 1410 , 1416.06631925  ,  0.43 , 155.9 , 
460 , 32  , 1410 , 1415.82185019  ,  0.413 , 161.9 , 
480 , 30  , 1410 , 1415.4556576  ,  0.387 , 167.8 , 
500 , 29  , 1410 , 1414.99608791  ,  0.354 , 174.4 , 
520 , 26  , 1410 , 1414.59867578  ,  0.326 , 180.8 , 
540 , 24  , 1410 , 1414.00454855  ,  0.284 , 186.5 , 
560 , 21  , 1410 , 1413.63506907  ,  0.258 , 192.9 , 
580 , 19  , 1410 , 1413.24744698  ,  0.23 , 199.2 , 
600 , 15  , 1410 , 1412.6500943  ,  0.188 , 205.4 , 
620 , 15  , 1410 , 1412.41449114  ,  0.171 , 211.5 , 
640 , 12  , 1410 , 1412.22697458  ,  0.158 , 217.4 , 
660 , 11  , 1410 , 1411.87353129  ,  0.133 , 223.7 , 
680 , 9  , 1410 , 1411.64597005  ,  0.117 , 229.9 , 
700 , 7  , 1410 , 1411.31709319  ,  0.0934 , 235.9 , 
720 , 4  , 1410 , 1411.14591739  ,  0.0813 , 242.8 , 
733 , 1  , 1410 , 1411.10255447  ,  0.0782 , 247.7 , 
734 , 1  , 1410 , 1411.1021425  ,  0.0782 , 248.9 , 
735 , 0  , 1410 , 1410  ,  0 , 249.5 , 
